# Generated by tools/generate-amigaos-lvos.py.
# AROS revision: d13e9e537f9e6f53e5fc255899c0e234be5d5ee2
# Derived from AROS public ABI metadata; see LICENSE.AROS.
# module	lvo	name
exec.library	5	Supervisor
exec.library	8	Reschedule
exec.library	11	Exception
exec.library	12	InitCode
exec.library	13	InitStruct
exec.library	14	MakeLibrary
exec.library	15	MakeFunctions
exec.library	16	FindResident
exec.library	17	InitResident
exec.library	18	Alert
exec.library	19	Debug
exec.library	20	Disable
exec.library	21	Enable
exec.library	22	Forbid
exec.library	23	Permit
exec.library	24	SetSR
exec.library	25	SuperState
exec.library	26	UserState
exec.library	27	SetIntVector
exec.library	28	AddIntServer
exec.library	29	RemIntServer
exec.library	30	Cause
exec.library	31	Allocate
exec.library	32	Deallocate
exec.library	33	AllocMem
exec.library	34	AllocAbs
exec.library	35	FreeMem
exec.library	36	AvailMem
exec.library	37	AllocEntry
exec.library	38	FreeEntry
exec.library	39	Insert
exec.library	40	AddHead
exec.library	41	AddTail
exec.library	42	Remove
exec.library	43	RemHead
exec.library	44	RemTail
exec.library	45	Enqueue
exec.library	46	FindName
exec.library	47	AddTask
exec.library	48	RemTask
exec.library	49	FindTask
exec.library	50	SetTaskPri
exec.library	51	SetSignal
exec.library	52	SetExcept
exec.library	53	Wait
exec.library	54	Signal
exec.library	55	AllocSignal
exec.library	56	FreeSignal
exec.library	57	AllocTrap
exec.library	58	FreeTrap
exec.library	59	AddPort
exec.library	60	RemPort
exec.library	61	PutMsg
exec.library	62	GetMsg
exec.library	63	ReplyMsg
exec.library	64	WaitPort
exec.library	65	FindPort
exec.library	66	AddLibrary
exec.library	67	RemLibrary
exec.library	68	OldOpenLibrary
exec.library	69	CloseLibrary
exec.library	70	SetFunction
exec.library	71	SumLibrary
exec.library	72	AddDevice
exec.library	73	RemDevice
exec.library	74	OpenDevice
exec.library	75	CloseDevice
exec.library	76	DoIO
exec.library	77	SendIO
exec.library	78	CheckIO
exec.library	79	WaitIO
exec.library	80	AbortIO
exec.library	81	AddResource
exec.library	82	RemResource
exec.library	83	OpenResource
exec.library	84	RawIOInit
exec.library	85	RawMayGetChar
exec.library	86	RawPutChar
exec.library	87	RawDoFmt
exec.library	88	GetCC
exec.library	89	TypeOfMem
exec.library	90	Procure
exec.library	91	Vacate
exec.library	92	OpenLibrary
exec.library	93	InitSemaphore
exec.library	94	ObtainSemaphore
exec.library	95	ReleaseSemaphore
exec.library	96	AttemptSemaphore
exec.library	97	ObtainSemaphoreList
exec.library	98	ReleaseSemaphoreList
exec.library	99	FindSemaphore
exec.library	100	AddSemaphore
exec.library	101	RemSemaphore
exec.library	102	SumKickData
exec.library	103	AddMemList
exec.library	104	CopyMem
exec.library	105	CopyMemQuick
exec.library	106	CacheClearU
exec.library	107	CacheClearE
exec.library	108	CacheControl
exec.library	109	CreateIORequest
exec.library	110	DeleteIORequest
exec.library	111	CreateMsgPort
exec.library	112	DeleteMsgPort
exec.library	113	ObtainSemaphoreShared
exec.library	114	AllocVec
exec.library	115	FreeVec
exec.library	116	CreatePool
exec.library	117	DeletePool
exec.library	118	AllocPooled
exec.library	119	FreePooled
exec.library	120	AttemptSemaphoreShared
exec.library	121	ColdReboot
exec.library	123	ChildFree
exec.library	124	ChildOrphan
exec.library	125	ChildStatus
exec.library	126	ChildWait
exec.library	127	CachePreDMA
exec.library	128	CachePostDMA
exec.library	129	AddMemHandler
exec.library	130	RemMemHandler
exec.library	131	ObtainQuickVector
exec.library	134	NewStackSwap
exec.library	135	TaggedOpenLibrary
exec.library	136	ReadGayle
exec.library	137	VNewRawDoFmt
exec.library	138	NewMinList
exec.library	142	AVL_AddNode
exec.library	143	AVL_RemNodeByAddress
exec.library	144	AVL_RemNodeByKey
exec.library	145	AVL_FindNode
exec.library	146	AVL_FindPrevNodeByAddress
exec.library	147	AVL_FindPrevNodeByKey
exec.library	148	AVL_FindNextNodeByAddress
exec.library	149	AVL_FindNextNodeByKey
exec.library	150	AVL_FindFirstNode
exec.library	151	AVL_FindLastNode
exec.library	153	NewCreateTaskA
exec.library	166	FindTaskByPID
exec.library	167	AddResetCallback
exec.library	168	RemResetCallback
exec.library	169	AllocVecPooled
exec.library	170	FreeVecPooled
exec.library	173	ShutdownA
exec.library	174	NewAllocEntry
exec.library	176	NewAddTask
dos.library	5	Open
dos.library	6	Close
dos.library	7	Read
dos.library	8	Write
dos.library	9	Input
dos.library	10	Output
dos.library	11	Seek
dos.library	12	DeleteFile
dos.library	13	Rename
dos.library	14	Lock
dos.library	15	UnLock
dos.library	16	DupLock
dos.library	17	Examine
dos.library	18	ExNext
dos.library	19	Info
dos.library	20	CreateDir
dos.library	21	CurrentDir
dos.library	22	IoErr
dos.library	23	CreateProc
dos.library	24	Exit
dos.library	25	LoadSeg
dos.library	26	UnLoadSeg
dos.library	29	DeviceProc
dos.library	30	SetComment
dos.library	31	SetProtection
dos.library	32	DateStamp
dos.library	33	Delay
dos.library	34	WaitForChar
dos.library	35	ParentDir
dos.library	36	IsInteractive
dos.library	37	Execute
dos.library	38	AllocDosObject
